iter	MAE
257	298.5127893
258	298.5122148
259	298.511175
260	298.4906359
261	295.7405022
262	295.7397439
263	295.73444
264	295.7201367
265	295.7174338
266	295.7162407
267	295.7159108
268	295.7152211
269	295.7093245
270	295.704288
271	293.6768886
272	293.6763264
273	293.675959
274	293.6727933
275	293.6698316
276	293.6676638
277	293.6672821
278	293.6664766
279	293.6641542
280	293.6620485
281	293.6617168
282	293.6599614
283	293.6501899
284	293.5843635
285	293.5839303
286	293.5835383
287	293.5831657
288	293.5818293
289	293.5806511
290	293.5751508
291	293.5747457
292	290.963714
293	290.9335889
294	290.9244408
295	290.9136855
296	290.8902701
297	290.8768153
298	290.8304683
299	290.8298462
300	290.8294491
301	290.8284029
302	290.8280263
303	290.8270291
304	288.4235385
305	288.4228727
306	288.4224932
307	288.4219261
308	288.4208611
309	288.4204156
310	288.418629
311	288.4183025
312	287.9550267
313	287.1806957
314	287.1787275
315	287.1782651
316	287.1765538
317	284.5947626
318	284.5907564
319	284.5903997
320	284.5900203
321	284.5885473
322	284.5879585
323	284.5876625
324	284.5873655
325	284.5870447
326	284.5867711
327	284.5852812
328	284.5848444
329	284.5824446
330	284.5821035
331	284.581846
332	284.5806664
333	284.5795728
334	284.5793201
335	284.5784172
336	284.1219453
337	281.3656101
338	281.365204
339	281.3649619
340	281.364663
341	281.3644138
342	281.3635662
343	281.3633085
344	281.3630749
345	281.3628048
346	281.362487
347	281.3622111
348	281.3619693
349	281.3617405
350	281.3614434
351	281.3609027
352	281.3606393
353	281.3603812
354	281.3601857
355	281.3597315
356	281.3593899
357	281.3591377
358	281.3576805
359	279.485192
360	279.4849093
361	279.484716
362	279.4842126
363	279.4840174
364	279.4834713
365	279.4831822
366	279.4829785
367	279.481846
368	279.4810725
369	279.4805783
370	279.4769985
371	279.4767822
372	279.4758088
373	279.4755891
374	279.4754261
375	279.4751377
376	279.473948
377	279.4737759
378	279.4735757
379	279.4726987
380	279.4724904
381	279.4722386
382	279.4720103
383	279.4710489
384	279.4708775
385	279.4707313
386	279.4706179
387	279.4704266
388	279.4702432
389	279.4700714
390	279.4698865
391	279.4693267
392	279.4691016
393	279.4686222
394	279.4682845
395	279.4680671
396	279.4678588
397	279.4676657
398	279.466631
399	279.4661694
400	279.465927
401	279.4657729
402	279.4652598
403	279.464888
404	279.4646919
405	279.4643903
406	279.4637889
407	279.4605114
408	279.4603674
409	279.460229
410	279.4598748
411	279.459741
412	279.4591455
413	279.4586937
414	279.4585478
415	279.4584093
416	279.4581964
417	279.4580377
418	279.4578567
419	279.4577252
420	279.4575217
421	279.4573253
422	279.4572073
423	279.4570799
424	279.4569686
425	279.4564743
426	279.4563529
427	279.4562054
428	279.4550986
429	279.4549839
430	279.4548016
431	279.4544018
432	279.4542918
433	279.4541533
434	279.4519768
435	279.4518038
436	279.4516734
437	279.4515562
438	279.4505912
439	279.4501706
440	279.4500862
441	279.4495599
442	279.4488985
443	279.4487385
444	279.4486599
445	279.4480369
446	279.4477275
447	279.4475257
448	279.4474193
449	279.4473198
450	279.4460167
451	279.4456689
452	279.4455073
453	279.4453543
454	279.4452068
455	279.4448993
456	279.4446015
457	279.444313
458	279.4423579
459	279.4422255
460	279.4419486
461	279.4418232
462	279.441687
463	279.4415714
464	279.4415036
465	279.4410245
466	279.4409002
467	279.4408353
468	279.4407161
469	279.4405923
470	279.4404462
471	279.4403861
472	279.4402759
473	279.4401388
474	279.4400076
475	279.4399052
476	279.4397849
477	279.4396622
478	279.4395663
479	279.439475
480	279.4393801
481	279.4392599
482	279.4391741
483	279.43909
484	279.4389884
485	279.438877
486	279.4388316
487	279.438263
488	279.4380405
489	279.437812
490	279.4375915
491	279.4367416
492	279.43666
493	279.4362885
494	279.4351827
495	279.4349525
496	279.4348496
497	279.4337334
498	279.4335207
499	279.4334592
500	279.4333685
501	279.4332212
502	279.4331046
503	279.4328892
504	279.4326934
505	279.4326037
506	279.4322912
507	279.4302158
508	279.4285348
509	279.4284173
510	279.4283329
511	279.4278275
512	279.42773
513	279.4252877
514	279.4252306
515	279.4250542
516	277.6651088
517	277.6641459
518	276.0388958
519	276.0380854
520	276.0379901
521	276.0377091
522	276.0361166
523	276.0353805
524	276.0314754
525	276.0278913
526	276.0277249
527	276.0276571
528	276.0244437
529	276.0243787
530	276.024133
531	276.0230293
532	276.022359
533	276.0211439
534	276.0175414
535	276.0173043
536	276.0097746
537	276.0031359
538	275.9616316
539	275.9569935
540	275.9044654
541	275.8969139
542	274.2645102
543	274.2586105
544	274.2442006
545	274.2439701
546	274.2437471
547	274.2380639
548	274.2378495
549	274.197857
550	274.1878788
551	274.1876701
552	274.1874693
553	274.1263486
554	274.1121834
555	274.097295
556	274.0386065
557	274.0384219
558	274.0383605
559	274.0383019
560	274.0382022
561	274.0381089
562	274.0380458
563	274.0377835
564	274.037732
565	274.0376488
566	274.037564
567	274.0374648
568	274.0373843
569	274.0372786
570	274.0370513
571	274.036846
572	274.036762
573	274.0361525
574	274.035969
575	274.0358975
576	274.0358212
577	274.0357691
578	274.0353807
579	274.0353074
580	274.0348618
581	274.0347913
582	274.0344574
583	274.0337381
584	274.0330598
585	274.0322623
586	274.0321943
587	272.5515528
588	272.5514794
589	272.5511349
590	272.549947
591	272.546704
592	272.5453262
593	272.5452558
594	272.5442356
595	272.544048
596	272.5414936
597	272.5337456
598	272.5291354
599	272.5219744
600	272.5162508
601	272.501246
602	272.4857867
603	272.4769137
604	272.4733012
605	272.4203194
606	272.3778512
607	272.374136
608	272.3619573
609	272.3556439
610	271.0069093
611	270.989067
612	270.9844284
613	270.980542
614	270.9757
615	270.9754655
616	270.9673088
617	270.911198
618	270.8971194
619	269.6826133
620	265.6881518
621	262.001261
622	261.9881985
623	261.9806604
624	261.9734544
625	261.9724686
626	261.972147
627	261.9540267
628	261.9475
629	261.9473253
630	261.9471034
631	261.935609
632	261.9354385
633	261.9348556
634	261.93457
635	261.9236625
636	261.9190151
637	261.9189583
638	261.918799
639	261.9187361
640	261.9185613
641	261.917828
642	261.916724
643	261.9166686
644	261.9163843
645	261.9156585
646	261.9151921
647	261.9127633
648	261.9106967
649	261.9092239
650	261.9083971
651	261.9065519
652	261.9044843
653	261.8668402
654	261.8663987
655	261.8651078
656	261.8525997
657	261.8524207
658	261.85213
659	261.8505751
660	258.2860841
661	258.2859106
662	258.2857425
663	258.2855799
664	258.2854223
665	258.2817756
666	258.2816257
667	258.2814772
668	258.281337
669	258.2812466
670	258.2811067
671	254.839514
672	254.8394591
673	254.8394216
674	254.7934025
675	254.7910574
676	254.79071
677	254.7905738
678	254.7904448
679	254.7902991
680	254.7900447
681	254.7898579
682	254.7896989
683	254.7888877
684	254.788675
685	254.7886009
686	254.7881934
687	254.7878727
688	254.7876089
689	254.7873986
690	254.7872173
691	254.7869575
692	254.7866857
693	254.7865642
694	254.7820747
695	254.7714558
696	254.7710101
697	254.7708859
698	254.7667136
699	254.7608387
700	251.5821532
701	251.5820786
702	251.5811117
703	251.5805829
704	251.5736651
705	251.5641829
706	251.5641092
707	251.5291476
708	251.5222213
709	251.5136981
710	251.5132268
711	248.6803231
712	248.6802647
713	248.6629324
714	248.6510788
715	248.6413962
716	248.6086343
717	248.6023553
718	248.5930533
719	248.5831543
720	248.5653058
721	248.560346
722	248.5602306
723	248.5601653
724	248.5598789
725	248.5597936
726	248.5596752
727	248.5573387
728	248.5567057
729	248.5561309
730	248.5547091
731	248.5529561
732	248.543403
733	248.5432845
734	248.5298463
735	248.5297544
736	248.5282158
737	248.5263513
738	248.5252142
739	248.5251117
740	248.5149795
741	248.4849408
742	248.4848825
743	248.4841268
744	248.4824291
745	248.4819356
746	248.4803778
747	248.4754251
748	248.4744582
749	248.4727909
750	248.4719775
751	248.4704546
752	248.4700156
753	248.4677213
754	248.4540516
755	248.4534859
756	248.4523849
757	248.4516258
758	248.4497258
759	248.4495496
760	248.4494442
761	248.4470789
762	248.4469073
763	248.4468444
764	248.4449197
765	248.4435952
766	248.4413532
767	248.4400202
768	248.4380817
769	248.4354816
770	248.4308748
771	248.4288552
772	248.4278682
773	248.4271178
774	248.4269538
775	248.4267859
776	248.4247003
777	248.4245713
778	248.4245147
779	248.4230131
780	248.4218501
781	248.4217328
782	248.4216213
783	248.420477
784	248.4201309
785	248.4177246
786	248.4158555
787	248.4146185
788	248.4128665
789	248.4125462
790	248.4118977
791	248.4093897
792	248.4086522
793	248.408235
794	248.4062142
795	248.4061011
796	248.4060556
797	248.4058824
798	248.4058008
799	248.4017663
800	248.4017328
801	248.4016816
802	248.4014115
803	248.4011716
804	248.4011231
805	248.3979762
806	248.3921666
807	248.3921212
808	248.3919882
809	248.3918367
810	248.3905487
811	248.3899831
812	248.389742
813	248.3827034
814	248.3826438
815	248.382537
816	248.3825075
817	248.3823692
818	248.3823136
819	248.3820114
820	248.3817117
821	248.3815882
822	248.3702522
823	248.3702128
824	248.365754
825	248.3592392
826	248.3528829
827	248.2678761
828	248.267753
829	248.2676477
830	248.2235841
831	248.2234605
832	248.2181201
833	248.2179802
834	248.2179275
835	248.2130843
836	248.212958
837	248.2028316
838	248.2023853
839	248.1849403
840	248.1848053
841	248.1847338
842	248.1847062
843	248.1846646
844	248.1844719
845	248.1515995
846	248.1455335
847	248.1454977
848	248.1413961
849	247.8830138
850	247.8755247
851	247.8714214
852	247.8158854
853	247.8087065
854	247.6644956
855	247.6644645
856	247.6643382
857	247.6510028
858	246.9346999
859	246.9345943
860	246.804623
861	246.8045209
862	246.7740483
863	244.3254268
864	244.3221569
865	244.3164815
866	244.3082294
867	244.3081983
868	244.3004761
869	244.3003067
870	244.2996115
871	244.2983453
872	244.2970714
873	244.2906888
874	244.287999
875	244.2878498
876	244.261064
877	244.2542574
878	244.2486638
879	244.2466667
880	244.2450504
881	244.2403425
882	244.2401943
883	244.2342467
884	244.2342159
885	244.2231692
886	244.2221622
887	244.2221162
888	244.2185454
889	244.1651924
890	244.1651016
891	244.1647651
892	241.8985229
893	241.8874843
894	241.8825103
895	241.8178976
896	241.8170392
897	241.8163406
898	241.816242
899	241.8135076
900	241.813464
901	241.8133775
902	241.8115754
903	241.8091247
904	241.8089207
905	241.8053118
906	241.8047532
907	241.8030995
908	241.7988019
909	241.7928347
910	241.7925923
911	241.7923284
912	241.7921599
913	241.791219
914	241.791182
915	241.7805682
916	241.7802362
917	241.7733687
918	241.7681691
919	241.7680718
920	241.7640124
921	241.7637046
922	241.7636579
923	241.758429
924	241.7583282
925	241.748802
926	241.7485381
927	241.7431327
928	241.7233297
929	241.7232236
930	241.6762613
931	241.675472
932	241.675373
933	241.6690325
934	241.6683602
935	241.6639815
936	241.6604449
937	241.6570937
938	241.6561138
939	241.6493995
940	241.6493632
941	241.6492727
942	241.6488176
943	241.6482632
944	241.6475099
945	241.6450687
946	241.6447578
947	241.6429625
948	241.6412349
949	241.6399159
950	241.6354744
951	241.6353174
952	241.6352907
953	241.6352529
954	241.6351794
955	241.6316729
956	241.6316505
957	241.6311736
958	241.5889309
959	241.5888442
960	241.5875223
961	241.4648463
962	241.4614281
963	241.1249442
964	241.1224181
965	241.1214675
966	241.1163728
967	241.1156087
968	241.1155036
969	241.1151182
970	241.1133357
971	241.1132524
972	241.1100302
973	241.1099467
974	241.1089291
975	241.1064768
976	241.1057223
977	241.1038208
978	241.1031819
979	241.1020917
980	241.1019989
981	241.1016271
982	241.100967
983	241.1004304
984	241.1003035
985	241.0985442
986	241.0982011
987	241.0980089
988	241.0973146
989	241.0972339
990	241.0972055
991	241.0971495
992	241.0896237
993	241.0890489
994	241.088972
995	241.0882419
996	241.0843187
997	241.0806417
998	241.0804557
999	241.0802785
