iter	Passed	Remaining
409	4895	7044
410	4907	7032
411	4920	7021
412	4931	7009
413	4943	6997
414	4956	6986
415	4967	6973
416	4980	6962
417	4991	6950
418	5004	6938
419	5016	6927
420	5028	6915
421	5041	6904
422	5052	6891
423	5064	6880
424	5078	6870
425	5091	6860
426	5104	6849
427	5116	6837
428	5128	6825
429	5139	6813
430	5151	6801
431	5163	6788
432	5175	6777
433	5188	6766
434	5201	6755
435	5212	6743
436	5224	6731
437	5238	6721
438	5249	6708
439	5262	6697
440	5272	6683
441	5284	6671
442	5296	6659
443	5308	6648
444	5322	6638
445	5334	6626
446	5347	6615
447	5359	6603
448	5370	6590
449	5383	6579
450	5395	6567
451	5407	6555
452	5418	6542
453	5431	6531
454	5442	6519
455	5455	6508
456	5467	6495
457	5478	6483
458	5491	6472
459	5503	6461
460	5515	6448
461	5527	6437
462	5539	6425
463	5551	6412
464	5562	6399
465	5573	6387
466	5585	6374
467	5596	6362
468	5620	6363
469	5632	6351
470	5644	6339
471	5655	6326
472	5667	6314
473	5680	6303
474	5692	6291
475	5704	6280
476	5717	6268
477	5730	6257
478	5742	6246
479	5754	6233
480	5765	6221
481	5777	6208
482	5788	6196
483	5800	6183
484	5812	6171
485	5824	6159
486	5836	6147
487	5847	6134
488	5858	6122
489	5870	6109
490	5882	6097
491	5894	6086
492	5908	6076
493	5922	6066
494	5935	6055
495	5948	6044
496	5959	6031
497	5972	6020
498	5985	6009
499	5997	5997
500	6008	5984
501	6019	5971
502	6031	5959
503	6042	5946
504	6054	5934
505	6065	5922
506	6078	5910
507	6090	5898
508	6102	5886
509	6114	5875
510	6126	5863
511	6139	5851
512	6152	5840
513	6163	5828
514	6175	5816
515	6188	5804
516	6200	5792
517	6212	5781
518	6224	5768
519	6236	5757
520	6248	5744
521	6261	5733
522	6273	5722
523	6285	5709
524	6298	5698
525	6310	5686
526	6323	5675
527	6336	5664
528	6349	5653
529	6362	5642
530	6374	5630
531	6387	5619
532	6400	5607
533	6414	5597
534	6425	5585
535	6438	5573
536	6450	5561
537	6462	5549
538	6474	5537
539	6486	5525
540	6500	5515
541	6512	5502
542	6524	5490
543	6535	5478
544	6548	5466
545	6560	5455
546	6573	5444
547	6586	5432
548	6598	5420
549	6610	5408
550	6621	5395
551	6633	5383
552	6645	5371
553	6656	5358
554	6667	5345
555	6678	5333
556	6689	5319
557	6700	5307
558	6713	5296
559	6726	5284
560	6738	5273
561	6750	5260
562	6763	5249
563	6775	5237
564	6787	5225
565	6799	5213
566	6811	5201
567	6822	5189
568	6834	5176
569	6846	5164
570	6858	5153
571	6870	5140
572	6882	5128
573	6895	5117
574	6909	5107
575	6922	5095
576	6935	5084
577	6949	5073
578	6962	5062
579	6974	5050
580	6986	5038
581	6999	5027
582	7011	5014
583	7023	5002
584	7035	4991
585	7047	4979
586	7059	4966
587	7070	4954
588	7082	4942
589	7094	4930
590	7106	4917
591	7118	4905
592	7130	4893
593	7141	4881
594	7153	4869
595	7165	4857
596	7177	4845
597	7188	4832
598	7200	4820
599	7211	4807
600	7223	4795
601	7235	4783
602	7246	4771
603	7259	4759
604	7271	4747
605	7282	4734
606	7294	4722
607	7305	4710
608	7317	4698
609	7329	4685
610	7340	4673
611	7352	4661
612	7363	4648
613	7375	4636
614	7387	4624
615	7399	4612
616	7415	4602
617	7426	4590
618	7438	4578
619	7449	4565
620	7461	4553
621	7471	4540
622	7483	4528
623	7494	4515
624	7506	4503
625	7518	4491
626	7529	4479
627	7542	4467
628	7555	4456
629	7567	4444
630	7580	4433
631	7592	4420
632	7604	4409
633	7615	4396
634	7627	4384
635	7640	4372
636	7653	4361
637	7666	4350
638	7678	4337
639	7690	4325
640	7703	4314
641	7714	4301
642	7726	4289
643	7737	4277
644	7750	4265
645	7761	4253
646	7773	4241
647	7785	4229
648	7796	4216
649	7809	4205
650	7821	4193
651	7833	4181
652	7846	4169
653	7859	4157
654	7872	4146
655	7886	4135
656	7898	4123
657	7910	4111
658	7923	4100
659	7936	4088
660	7948	4076
661	7961	4065
662	7975	4053
663	7987	4041
664	7999	4029
665	8012	4018
666	8025	4006
667	8037	3994
668	8049	3982
669	8062	3970
670	8073	3958
671	8085	3946
672	8096	3933
673	8108	3921
674	8118	3909
675	8132	3897
676	8144	3885
677	8157	3873
678	8168	3861
679	8180	3849
680	8191	3837
681	8203	3825
682	8215	3813
683	8227	3801
684	8239	3788
685	8250	3776
686	8263	3765
687	8276	3753
688	8288	3741
689	8299	3728
690	8312	3717
691	8324	3705
692	8337	3693
693	8349	3681
694	8360	3669
695	8372	3657
696	8384	3645
697	8396	3632
698	8409	3621
699	8422	3609
700	8434	3597
701	8449	3586
702	8463	3575
703	8477	3564
704	8491	3553
705	8503	3541
706	8515	3529
707	8528	3517
708	8540	3505
709	8552	3493
710	8566	3481
711	8579	3470
712	8592	3458
713	8603	3446
714	8618	3435
715	8631	3423
716	8644	3412
717	8657	3400
718	8670	3388
719	8685	3377
720	8698	3365
721	8711	3354
722	8724	3342
723	8737	3331
724	8751	3319
725	8765	3308
726	8780	3297
727	8794	3285
728	8806	3273
729	8820	3262
730	8834	3250
731	8848	3239
732	8863	3228
733	8877	3217
734	8892	3206
735	8906	3194
736	8921	3183
737	8935	3172
738	8949	3160
739	8964	3149
740	8976	3137
741	8988	3125
742	9000	3113
743	9012	3101
744	9023	3088
745	9035	3076
746	9047	3064
747	9059	3052
748	9072	3040
749	9085	3028
750	9098	3016
751	9111	3004
752	9124	2992
753	9137	2981
754	9149	2968
755	9162	2957
756	9175	2945
757	9188	2933
758	9200	2921
759	9212	2909
760	9225	2897
761	9238	2885
762	9250	2873
763	9261	2861
764	9273	2848
765	9286	2836
766	9298	2824
767	9310	2812
768	9323	2800
769	9337	2789
770	9348	2776
771	9360	2764
772	9372	2752
773	9385	2740
774	9399	2728
775	9411	2716
776	9423	2704
777	9436	2692
778	9448	2680
779	9459	2668
780	9471	2655
781	9484	2643
782	9495	2631
783	9508	2619
784	9520	2607
785	9534	2595
786	9547	2584
787	9560	2572
788	9571	2559
789	9584	2547
790	9596	2535
791	9609	2523
792	9621	2511
793	9633	2499
794	9646	2487
795	9659	2475
796	9671	2463
797	9683	2451
798	9695	2438
799	9706	2426
800	9718	2414
801	9730	2402
802	9743	2390
803	9754	2378
804	9766	2365
805	9778	2353
806	9790	2341
807	9803	2329
808	9815	2317
809	9827	2305
810	9841	2293
811	9854	2281
812	9867	2269
813	9881	2258
814	9895	2246
815	9907	2234
816	9920	2222
817	9934	2210
818	9947	2198
819	9960	2186
820	9973	2174
821	9986	2162
822	9999	2150
823	10012	2138
824	10024	2126
825	10037	2114
826	10050	2102
827	10061	2090
828	10073	2077
829	10084	2065
830	10097	2053
831	10108	2041
832	10121	2029
833	10134	2017
834	10146	2005
835	10159	1992
836	10172	1980
837	10184	1968
838	10196	1956
839	10208	1944
840	10220	1932
841	10232	1920
842	10245	1908
843	10257	1895
844	10269	1883
845	10280	1871
846	10293	1859
847	10306	1847
848	10317	1835
849	10329	1822
850	10340	1810
851	10353	1798
852	10364	1786
853	10377	1774
854	10390	1762
855	10402	1750
856	10415	1737
857	10426	1725
858	10438	1713
859	10451	1701
860	10462	1689
861	10475	1676
862	10486	1664
863	10497	1652
864	10509	1640
865	10522	1628
866	10534	1615
867	10547	1604
868	10559	1591
869	10571	1579
870	10586	1567
871	10600	1556
872	10612	1543
873	10624	1531
874	10636	1519
875	10648	1507
876	10659	1495
877	10671	1482
878	10683	1470
879	10695	1458
880	10707	1446
881	10719	1434
882	10731	1422
883	10743	1409
884	10755	1397
885	10766	1385
886	10778	1373
887	10790	1360
888	10802	1348
889	10815	1336
890	10829	1324
891	10841	1312
892	10852	1300
893	10864	1288
894	10877	1276
895	10889	1264
896	10901	1251
897	10913	1239
898	10925	1227
899	10936	1215
900	10948	1203
901	10961	1190
902	10973	1178
903	10985	1166
904	10998	1154
905	11011	1142
906	11024	1130
907	11037	1118
908	11048	1106
909	11060	1093
910	11072	1081
911	11084	1069
912	11096	1057
913	11107	1045
914	11119	1032
915	11130	1020
916	11142	1008
917	11155	996
918	11167	984
919	11178	972
920	11192	960
921	11204	947
922	11216	935
923	11228	923
924	11240	911
925	11252	899
926	11264	887
927	11275	874
928	11287	862
929	11299	850
930	11310	838
931	11322	826
932	11334	813
933	11347	801
934	11358	789
935	11370	777
936	11384	765
937	11396	753
938	11407	741
939	11420	728
940	11431	716
941	11445	704
942	11457	692
943	11471	680
944	11483	668
945	11495	656
946	11507	644
947	11519	631
948	11532	619
949	11546	607
950	11558	595
951	11571	583
952	11583	571
953	11595	559
954	11606	546
955	11618	534
956	11630	522
957	11643	510
958	11655	498
959	11667	486
960	11680	474
961	11691	461
962	11703	449
963	11715	437
964	11727	425
965	11739	413
966	11750	401
967	11763	388
968	11775	376
969	11786	364
970	11798	352
971	11812	340
972	11825	328
973	11837	315
974	11849	303
975	11861	291
976	11874	279
977	11887	267
978	11900	255
979	11913	243
980	11926	230
981	11940	218
982	11952	206
983	11965	194
984	11976	182
985	11987	170
986	12000	158
987	12013	145
988	12025	133
989	12037	121
990	12049	109
991	12062	97
992	12072	85
993	12084	72
994	12096	60
995	12108	48
996	12121	36
997	12133	24
998	12145	12
999	12157	0
